"ID","Player","Team","Position","Rk","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros%","+/-"
"*05jnh*","Jamycal Hasty","SF","RB","154","FA","25","GB Sun 8:20PM","1","WAVR","7.65","6","25%","-5.3%"
"*04ch5*","Zane Gonzalez","CAR","K","155","FA","26","CAR 24<br/>@HOU 9 F","1","WAVR","7.5","13","4%","+0.2%"
"*04mot*","Mark Andrews","BAL","TE","156","FLU","26","@DET Sun 1:00PM","22","AUCT","7.45","8","100%","-0.2%"
"*20100#1090*","Indianapolis","null","DST","157","FA","","@TEN Sun 1:00PM","1","WAVR","7.45","14","75%","-3.4%"
"*04ynh*","DK Metcalf","SEA","WR","158","HAR","23","@MIN Sun 4:25PM","30","2YR","7.3","9","100%","0%"
"*040fn*","Kenyan Drake","LV","RB","159","CR","27","MIA Sun 4:05PM","3","AUCT","7.25","8","94%","-1.1%"
"*050db*","Chase McLaughlin","CLE","K","160","FA","25","CHI Sun 1:00PM","1","WAVR","7","13","12%","-1%"
"*04zfs*","Miles Sanders","PHI","RB","161","OAK","24","@DAL Mon 8:15PM","22","AUCT","6.9","14","100%","+0.1%"
"*05rqt*","Elijah Mitchell","SF","RB","162","GK","23","GB Sun 8:20PM","34","WAVR","6.8","6","84%","-0.5%"
"*04dom*","Dan Arnold","CAR","TE","163","FA","26","CAR 24<br/>@HOU 9 F","1","WAVR","6.75","13","27%","+0.6%"
"*03p4r*","Adam Humphries","WAS","WR","164","FA","28","@BUF Sun 1:00PM","1","WAVR","6.65","9","19%","+1.5%"
"*05gu7*","Jonathan Taylor","IND","RB","165","OAK","22","@TEN Sun 1:00PM","30","1YR","6.55","14","100%","0%"
"*040o5*","Chester Rogers","TEN","WR","166","FA","27","IND Sun 1:00PM","1","WAVR","6.55","13","5%","+1%"
"*02jrx*","Justin Tucker","BAL","K","167","LIC","31","@DET Sun 1:00PM","1","AUCT","6.5","8","100%","-0.1%"
"*05rlh*","Zach Wilson","NYJ","QB","168","YON","22","@DEN Sun 4:05PM","2","ROOK","6.5","6","63%","-5.1%"
"*05guy*","Harrison Bryant","CLE","TE","169","FA","23","CHI Sun 1:00PM","1","WAVR","6.4","13","12%","+0.6%"
"*04cd7*","Kareem Hunt","CLE","RB","170","GK","26","CHI Sun 1:00PM","22","1YR","6.3","13","99%","-0.2%"
"*040ij*","Andy Janovich","CLE","RB","171","FA","28","CHI Sun 1:00PM","1","WAVR","6.25","13","1%","+0.2%"
"*03ohc*","DeVante Parker","MIA","WR","172","FA","28","@LV Sun 4:05PM","1","WAVR","6.2","14","87%","-0.9%"
"*04ms4*","Darrel Williams","KC","RB","173","FA","26","LAC Sun 1:00PM","1","WAVR","6.05","12","41%","+1.8%"
"*03cg1*","Logan Thomas","WAS","TE","174","GK","30","@BUF Sun 1:00PM","2","AUCT","6","9","97%","-0.2%"
"*05rpl*","Evan McPherson","CIN","K","175","FA","22","@PIT Sun 1:00PM","1","WAVR","6","10","31%","-0.9%"
"*03cvr*","Chris Boswell","PIT","K","176","FA","30","CIN Sun 1:00PM","1","WAVR","6","7","30%","-1.9%"
"*05rno*","Davis Mills","HOU","QB","177","FA","22","CAR 24<br/>@HOU 9 F","1","WAVR","6","10","21%","+4.6%"
"*05rhx*","Matt Ammendola","NYJ","K","178","FA","24","@DEN Sun 4:05PM","1","WAVR","6","6","7%","-0.2%"
"*05rmw*","Elijah Moore","NYJ","WR","179","LIC","21","@DEN Sun 4:05PM","2","ROOK","5.95","6","79%","-1.2%"
"*05rpm*","Kenneth Gainwell","PHI","RB","180","MARS","22","@DAL Mon 8:15PM","2","ROOK","5.95","14","77%","-0.1%"
"*03ccp*","Sammy Watkins","BAL","WR","181","VA","28","@DET Sun 1:00PM","4","WAVR","5.9","8","61%","+0.9%"
"*04zdo*","Myles Gaskin","MIA","RB","182","GK","24","@LV Sun 4:05PM","12","1YR","5.85","14","99%","-0.5%"
"*01tnz*","Emmanuel Sanders","BUF","WR","183","FA","34","WAS Sun 1:00PM","1","WAVR","5.8","7","68%","+1.3%"
"*04ynd*","A.J. Brown","TEN","WR","184","NE","24","IND Sun 1:00PM","23","2YR","5.8","13","100%","0%"
"*040fx*","Austin Hooper","CLE","TE","185","FA","26","CHI Sun 1:00PM","1","WAVR","5.75","13","68%","0%"
"*04zec*","Ty Johnson","NYJ","RB","186","FA","24","@DEN Sun 4:05PM","1","WAVR","5.75","6","47%","+1.6%"
"*03oje*","David Johnson","HOU","RB","187","FA","29","CAR 24<br/>@HOU 9 F","1","WAVR","5.7","10","85%","-1.4%"
"*04mpt*","Mike Gesicki","MIA","TE","188","FLU","25","@LV Sun 4:05PM","1","AUCT","5.6","14","86%","-2%"
"*03ol5*","MyCole Pruitt","TEN","TE","189","FA","29","IND Sun 1:00PM","1","WAVR","5.55","13","1%","+0.8%"
"*001hh*","Robbie Gould","SF","K","190","FA","38","GB Sun 8:20PM","1","WAVR","5.5","6","61%","-4%"
"*050ij*","Austin Seibert","DET","K","191","FA","24","BAL Sun 1:00PM","1","WAVR","5.5","9","5%","-0.1%"
"*05gv0*","Bryan Edwards","LV","WR","192","HAR","22","MIA Sun 4:05PM","2","AUCT","5.25","8","65%","-2%"
"*040ep*","Hunter Henry","NE","TE","193","FA","26","NO Sun 1:00PM","1","WAVR","5.2","14","73%","-2.2%"
"*04mok*","Sony Michel","LAR","RB","194","HAR","26","TB Sun 4:25PM","4","AUCT","5.1","11","85%","+1.9%"
"*02jhq*","Cole Beasley","BUF","WR","195","FA","32","WAS Sun 1:00PM","1","WAVR","5.1","7","85%","-1.3%"
"*05rn2*","Pat Freiermuth","PIT","TE","196","FLU","22","CIN Sun 1:00PM","1","ROOK","5.1","7","45%","+0.1%"
"*040uh*","Robby Anderson","CAR","WR","197","CR","28","CAR 24<br/>@HOU 9 F","20","1YR","5.05","13","97%","-1.2%"
